hour,desired,output,error
5,60,59.726083,0.273917
6,63,64.632735,-1.632735
7,70,68.766092,1.233908
8,73,74.206889,-1.206889
9,78,78.149703,-0.149703
9,78,76.861749,1.138251
10,81.5,81.502521,-0.002521
11,85.1,85.207129,-0.107129
12,87,88.771802,-1.771802
13,90,89.685443,0.314557
5,60.5,59.171672,1.328328
6,62,64.297272,-2.297272
7,69.7,68.08968,1.61032
8,73.1,73.649961,-0.549961
9,77.5,78.003611,-0.503611
9,77.5,76.125605,1.374395
10,81,80.899951,0.100049
11,84.8,84.658347,0.141653
12,86.2,88.504092,-2.304092
13,92,88.559596,3.440404
5,59,58.927453,0.072547
6,63.2,63.615742,-0.415742
7,69,68.106399,0.893601
8,74.15,73.260234,0.889766
9,79.1,78.616797,0.483203
9,79.1,79.033523,0.066477
10,82.6,82.937707,-0.337707
11,86.2,86.412525,-0.212525
12,88.1,89.945769,-1.845769
13,91.1,90.840436,0.259564
